,label,prob,cleaned_tweet,tweet_id,racist
0,hateful,tensor(0.9976),what up with all these bitches in bed clothes walking the streets like that shit is cute,1001023125,0
1,not-hateful,tensor(0.9998),thai food sounds lovely rn,1.02E+18,0
2,not-hateful,tensor(0.9997),aids hiv infections continue to rise among gay hispanic men,6.87912E+17,1
3,not-hateful,tensor(0.7718),bitch now ok,1001011491,0
4,hateful,tensor(0.9806),how you gonna use my name while you talmbout pussy tastes lol,1001010212,0
5,not-hateful,tensor(0.9573),sir why you are brewing frustration of gurudaspur on lord ram,6970,0
6,not-hateful,tensor(0.9852),make no mistake the nra fights only for white people to keep their guns,9.78E+17,0
7,hateful,tensor(0.9952),am hurt im not in it wtf fuck danielle that bitch,1001005602,0
8,not-hateful,tensor(0.9120),our enemies have used race against us and are currently trying to destroy our race through variety of different means,13450842_2,1
9,hateful,tensor(0.9844),dixon mayweather stepping on niggas and shit,5.88031E+17,0
10,not-hateful,tensor(0.9860),freedom is never given it is won philip randolph black history month,9.60E+17,0
11,hateful,tensor(0.9938),tired of all gay niggas liking my tweets my tweets are made for the hoes not niggas move along,8.18E+17,0
12,not-hateful,tensor(0.8246),its simple they want to create white guilt,31757290_2,1
13,hateful,tensor(0.9894),wait that noooo butt naked bitch boy,1001022929,0
14,hateful,tensor(0.9177),where are the women and children the dems are always bitchin about noillegals nodaca nochainmigration americanpeoplefirst,2761,1
15,not-hateful,tensor(0.9715),real indian to take on fake indian elizabeth warren in massachusetts senate race,8.37E+17,0
16,hateful,tensor(0.9948),wish would argue with nigga or bitch imma just laugh at ya ass,1001011374,0
17,hateful,tensor(0.9853),bitch mad cuz nutted quick first of all yo pussy just good so be happy,5476,1
18,hateful,tensor(0.9655),this monique netflix situation really stamped that we getting out of hand with the protests like she really asked niggas to chalk netflix,9.55E+17,0
19,hateful,tensor(0.8068),you my nigga for life bruh why you choose the fruity rose tho lol that why you my guy tho funny nigga,5.88196E+17,0
20,not-hateful,tensor(0.9979),when anyone calls me about anything ever,7147,0
21,hateful,tensor(0.9907),oh no it friday night the night all the bitches cheat,1001013881,0
22,hateful,tensor(0.5708),fuck bitches,1001003874,0
23,not-hateful,tensor(0.9951),immigrant parents of companies like the annual national homeland security trying to the perfect setting for updates,3210,0
24,hateful,tensor(0.9816),rt seven grams in the blunt almost drowned in her pussy so swam to her butt rt quote this with weezy verse,1001016512,0
25,hateful,tensor(0.9913),will neva beg bitch or nigga to support my dreams keepitgwitme datsalliaskofu,9.59E+17,0
26,hateful,tensor(0.9944),rt choke on cactus bitch,1001017828,0
27,not-hateful,tensor(0.9920),round this time in imax laser imax imaxlaser chinesetheatre tclimax tclchinesetheatre,7.14994E+17,0
28,hateful,tensor(0.9937),rt lightskin bitches crying they ain got no valentine bitch maybe you should ve read some of them unreads msgs yo,1001017158,0
29,hateful,tensor(0.9963),shoutout to all the girls that can not go swimming this summer cause their body will wash off,5569,1
30,hateful,tensor(0.9759),niggas always playing trash ass music on the bus,5.90871E+17,0
31,not-hateful,tensor(0.5813),was referring to the fact stated women rape men but you couldnt handle me stating so,8827,0
32,hateful,tensor(0.9563),you real bitch for that,1001005533,0
33,hateful,tensor(0.9947),fuck them hoes you got that award already,1001009541,0
